"Product Title",SKU,"Items Sold","Net Sales",Orders,Category,Variations,Status,Stock
"Šaltai rūkyti lašiniai",,8,52.73,5,Lašiniai,2,"In stock",5
"Mažai parūkytos dešrelės",,7,29.15,7,"Dešros ir dešrelės",2,"In stock",5
"Aukštaitiška dešra",,7,50.44,6,"Dešros ir dešrelės",2,"In stock",4
"Karštai rūkyta dešra",,2,12.98,2,"Dešros ir dešrelės, Rūkyti mėsos gaminiai",2,"In stock",5
"Karštai rūkyta šoninė",,2,13.98,2,"Lašiniai, Rūkyti mėsos gaminiai",2,"In stock",5
"Karštai rūkytas kumpis",,1,8.99,1,"Rūkyti mėsos gaminiai",2,"In stock",5
"Vytintos dešrelės",,1,6.99,1,"Dešros ir dešrelės, Rūkyti mėsos gaminiai",2,"In stock",5
