"Product / Variation Title",SKU,"Items Sold","Net Sales",Orders,Status,Stock
"Mažai parūkytos dešrelės<span> - </span>900g",,5,39.95,3,"In stock",
"Karštai rūkyta dešra<span> - </span>500g",,3,13.47,2,"In stock",
"Aukštaitiška dešra<span> - </span>500g",,3,14.97,2,"In stock",
"Karštai rūkytas kumpis<span> - </span>1kg",,1,8.99,1,"In stock",0
"Karštai rūkyta dešra<span> - </span>1kg",,1,8.49,1,"In stock",
"Karštai rūkytas kumpis<span> - </span>500g",,1,4.99,1,"In stock",0
"Aukštaitiška dešra<span> - </span>1kg",,1,8.99,1,"In stock",
"Karštai rūkyta šoninė<span> - </span>500g",,1,4.99,1,"In stock",
